,N,M,K,type,trials,times,volume
0,500,500,500,tf-webgl,50,91.60000002384186,125000000
1,500,500,500,tf-webgl,50,63.90000003576279,125000000
2,500,500,500,tf-webgl,50,43.60000002384186,125000000
3,500,500,500,tf-webgl,50,55.200000047683716,125000000
4,500,500,500,tf-webgl,50,37.89999997615814,125000000
5,500,500,500,tf-webgl,50,42.39999997615814,125000000
6,500,500,500,tf-webgl,50,46.799999952316284,125000000
7,500,500,500,tf-webgl,50,39.60000002384186,125000000
8,500,500,500,tf-webgl,50,39.0,125000000
9,500,500,500,tf-webgl,50,52.30000001192093,125000000
10,500,500,500,tf-webgl,50,33.89999997615814,125000000
11,500,500,500,tf-webgl,50,42.80000001192093,125000000
12,500,500,500,tf-webgl,50,38.69999998807907,125000000
13,500,500,500,tf-webgl,50,48.89999997615814,125000000
14,500,500,500,tf-webgl,50,38.80000001192093,125000000
15,500,500,500,tf-webgl,50,40.90000003576279,125000000
16,500,500,500,tf-webgl,50,36.80000001192093,125000000
17,500,500,500,tf-webgl,50,40.700000047683716,125000000
18,500,500,500,tf-webgl,50,39.0,125000000
19,500,500,500,tf-webgl,50,39.59999996423721,125000000
20,500,500,500,tf-webgl,50,43.80000001192093,125000000
21,500,500,500,tf-webgl,50,37.90000003576279,125000000
22,500,500,500,tf-webgl,50,38.80000001192093,125000000
23,500,500,500,tf-webgl,50,45.30000001192093,125000000
24,500,500,500,tf-webgl,50,44.19999998807907,125000000
25,500,500,500,tf-webgl,50,40.40000003576279,125000000
26,500,500,500,tf-webgl,50,34.09999996423721,125000000
27,500,500,500,tf-webgl,50,41.10000002384186,125000000
28,500,500,500,tf-webgl,50,36.39999997615814,125000000
29,500,500,500,tf-webgl,50,38.19999998807907,125000000
30,500,500,500,tf-webgl,50,39.80000001192093,125000000
31,500,500,500,tf-webgl,50,39.19999998807907,125000000
32,500,500,500,tf-webgl,50,43.60000002384186,125000000
33,500,500,500,tf-webgl,50,44.0,125000000
34,500,500,500,tf-webgl,50,39.60000002384186,125000000
35,500,500,500,tf-webgl,50,46.90000003576279,125000000
36,500,500,500,tf-webgl,50,38.59999996423721,125000000
37,500,500,500,tf-webgl,50,47.69999998807907,125000000
38,500,500,500,tf-webgl,50,38.19999998807907,125000000
39,500,500,500,tf-webgl,50,38.30000001192093,125000000
40,500,500,500,tf-webgl,50,39.89999997615814,125000000
41,500,500,500,tf-webgl,50,45.89999997615814,125000000
42,500,500,500,tf-webgl,50,38.69999998807907,125000000
43,500,500,500,tf-webgl,50,44.700000047683716,125000000
44,500,500,500,tf-webgl,50,38.19999998807907,125000000
45,500,500,500,tf-webgl,50,38.0,125000000
46,500,500,500,tf-webgl,50,38.30000001192093,125000000
