"Date","Chrome","Safari","Edge","Firefox","Samsung Internet","Opera","UC Browser","Android","IE","360 Safe Browser","Yandex Browser","QQ Browser","Instabridge","Coc Coc","Whale Browser","Puffin","Edge Legacy","Mozilla","KaiOS","Sogou Explorer","Sony PS4","Unknown","Chromium","Other"
2022-04,64.34,19.16,4.05,3.41,2.85,2.07,0.84,0.76,0.39,0.26,0.23,0.24,0.66,0.06,0.11,0.09,0.16,0.08,0.07,0.05,0.03,0.03,0.02,0.06
2022-05,64.95,19.01,3.99,3.26,2.85,2.11,0.76,0.7,0.64,0.23,0.22,0.22,0.25,0.07,0.11,0.1,0.23,0.07,0.07,0.04,0.03,0.02,0.01,0.05
2022-06,65.87,18.61,4.13,3.26,2.87,2.11,0.71,0.68,0.29,0.22,0.22,0.21,0.21,0.08,0.11,0.1,0.06,0.07,0.05,0.04,0.03,0.02,0.01,0.04
2022-07,65.12,18.86,4.11,3.29,2.95,2.12,1,0.72,0.28,0.23,0.22,0.35,0.16,0.08,0.11,0.11,0.05,0.07,0.03,0.04,0.03,0.03,0.01,0.04
2022-08,65.52,18.78,4.3,3.16,2.85,2.2,0.74,0.77,0.31,0.23,0.21,0.21,0.16,0.06,0.11,0.1,0.05,0.06,0.03,0.04,0.03,0.04,0.01,0.04
2022-09,65.68,18.68,4.33,3.15,2.75,2.26,0.71,0.73,0.33,0.23,0.21,0.21,0.18,0.06,0.1,0.09,0.06,0.07,0.03,0.04,0.02,0.04,0.01,0.05
2022-10,65.27,19.03,4.4,3.07,2.7,2.49,0.63,0.78,0.32,0.23,0.23,0.19,0.09,0.08,0.1,0.09,0.05,0.07,0.04,0.04,0.02,0.02,0.01,0.05
2022-11,65.86,18.67,4.45,3.04,2.68,2.27,0.67,0.72,0.3,0.23,0.25,0.18,0.08,0.13,0.09,0.09,0.05,0.07,0.04,0.03,0.02,0.02,0.01,0.05
2022-12,64.68,18.29,4.23,3.01,3.05,2.25,1.72,0.82,0.28,0.39,0.26,0.29,0.08,0.13,0.11,0.09,0.05,0.07,0.06,0.05,0.02,0.02,0.01,0.05
2023-01,65.43,18.69,4.46,3,2.61,2.4,0.88,0.77,0.25,0.36,0.23,0.22,0.07,0.12,0.11,0.08,0.05,0.07,0.06,0.04,0.02,0.02,0.01,0.05
2023-02,65.76,18.84,4.28,2.93,2.59,2.26,0.88,0.74,0.25,0.32,0.23,0.2,0.06,0.16,0.11,0.08,0.04,0.07,0.08,0.04,0.02,0.02,0.01,0.05
2023-03,64.76,19.52,4.64,2.93,2.57,2.34,0.89,0.69,0.26,0.23,0.23,0.2,0.05,0.19,0.11,0.07,0.04,0.07,0.07,0.03,0.02,0.01,0.01,0.07
2023-04,63.45,20.48,4.97,2.76,2.59,2.41,0.93,0.74,0.24,0.2,0.27,0.21,0.05,0.2,0.12,0.07,0.04,0.07,0.07,0.03,0.02,0.01,0.01,0.07
