"Date","Apple","Samsung","Xiaomi","Oppo","Huawei","Vivo","Realme","Unknown","Motorola","OnePlus","Tecno","Infinix","LG","Google","Nokia","Lenovo","Sony","Itel","Asus","General Mobile","ZTE","Honor","Alcatel","HTC","Infinex","BBK","Casper","T-Mobile","TCL","Reeder","Vestel","Lava","Vsmart","Meizu","Gionee","Micromax","Hisense","Sharp","Vodafone","Kyocera","Wiko","Jio","Mixc","CAT","Other"
2022-04,27.68,27.94,12.18,5.37,6.18,4.25,3.09,2.55,2.62,1.05,0.94,0.86,1.18,0.81,0.54,0.42,0.46,0.26,0.35,0.1,0.11,0.05,0.09,0.12,0.08,0.1,0.03,0.05,0.03,0.01,0.03,0.05,0,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0,0.01,0.01,0.2
2022-05,27.83,28.25,12.64,5.37,6.25,4.08,3.04,2.25,2.42,1.04,0.9,0.84,1.09,0.77,0.51,0.38,0.43,0.23,0.32,0.19,0.11,0.05,0.09,0.12,0.08,0.08,0.06,0.04,0.03,0.03,0.06,0.04,0,0.02,0.03,0.02,0.01,0.02,0.02,0.01,0.02,0,0.01,0.01,0.18
2022-06,27.22,28.24,13.05,5.76,6.09,4.3,3.26,2.12,2.35,1.04,0.85,0.87,1.03,0.73,0.5,0.37,0.4,0.22,0.29,0.2,0.1,0.05,0.08,0.1,0.08,0.08,0.07,0.05,0.03,0.03,0.06,0.04,0,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0,0.01,0.01,0.17
2022-07,27.5,28.17,12.86,5.39,6.34,4.28,3.1,2.62,2.41,1.02,0.82,0.77,1.01,0.75,0.49,0.35,0.35,0.2,0.26,0.2,0.1,0.06,0.08,0.08,0.07,0.1,0.07,0.05,0.04,0.03,0.06,0.04,0,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0,0.01,0.01,0.17
2022-08,27.83,28.76,12.8,5.14,6.03,3.95,2.94,2.54,2.48,1.02,0.96,0.86,1,0.74,0.49,0.35,0.35,0.22,0.24,0.21,0.11,0.06,0.09,0.09,0.08,0.07,0.07,0.05,0.04,0.03,0.06,0.03,0,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0,0.01,0.01,0.16
2022-09,27.8,28.41,13.02,5.32,5.64,4.29,3.16,2.31,2.36,1.07,1.02,0.92,0.93,0.73,0.48,0.34,0.32,0.25,0.23,0.2,0.11,0.08,0.09,0.08,0.08,0.07,0.08,0.06,0.05,0.06,0.06,0.03,0,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.2
2022-10,28.41,28.21,12.73,5.53,5.27,4.31,3.16,2.19,2.33,1.11,1.09,0.96,0.85,0.77,0.45,0.31,0.31,0.26,0.21,0.18,0.11,0.09,0.09,0.07,0.07,0.06,0.09,0.07,0.07,0.09,0.05,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.23
2022-11,27.48,28.33,12.97,6.28,4.98,4.59,3.37,2.16,2.3,1.12,1.02,0.98,0.78,0.72,0.45,0.3,0.29,0.25,0.19,0.17,0.1,0.09,0.08,0.06,0.07,0.06,0.08,0.06,0.07,0.09,0.05,0.03,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.22
2022-12,26.98,27.38,12.35,6.4,5.25,5.07,3.68,3.28,2.25,1.21,0.98,1,0.71,0.75,0.43,0.29,0.27,0.24,0.19,0.1,0.1,0.12,0.07,0.05,0.08,0.08,0.05,0.05,0.06,0.05,0.03,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.19
2023-01,27.6,27.09,12.52,6.41,4.62,5.26,3.96,2.74,2.3,1.26,1.07,1.06,0.68,0.74,0.45,0.3,0.27,0.26,0.19,0.08,0.11,0.12,0.07,0.05,0.08,0.07,0.04,0.05,0.06,0.05,0.02,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.18
2023-02,27.1,26.75,12.29,6.86,4.84,5.3,4.03,3.14,2.28,1.22,1.06,1.15,0.64,0.76,0.45,0.29,0.24,0.26,0.17,0.06,0.1,0.12,0.07,0.05,0.08,0.08,0.03,0.04,0.05,0.04,0.02,0.02,0.05,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.16
2023-03,28.42,27.1,12.16,6.39,4.32,5.17,3.79,3,2.5,1.23,1.01,0.95,0.7,0.74,0.46,0.29,0.25,0.25,0.18,0.05,0.1,0.12,0.07,0.06,0.07,0.07,0.03,0.04,0.05,0.03,0.01,0.02,0.05,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.16
2023-04,30.61,26.05,11.68,6.35,4.11,5.09,3.68,3.2,2.21,1.18,1.03,0.97,0.62,0.73,0.45,0.29,0.24,0.26,0.18,0.05,0.1,0.12,0.06,0.06,0.07,0.07,0.02,0.04,0.05,0.03,0.01,0.02,0.05,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.15
